"","out01_0","out02_0","out03_0","out04_0","out05_0","out06_0","out07_0","out08_0","out09_0"
"A1BG",4,4,4,3,1,2,2,2,2
"A1BG-AS1",0,0,0,0,0,0,0,0,0
"A1CF",0,0,0,0,0,0,0,0,0
"A2M",3,3,3,2,2,1,1,1,0
"A2M-AS1",0,0,0,0,0,0,0,0,0
"A2ML1",0,0,0,0,0,0,0,0,0
"A2MP1",0,0,0,0,0,0,0,0,0
"A4GALT",0,0,0,0,0,0,1,0,0
"A4GNT",0,0,0,0,0,0,0,0,0
"AA06",0,0,0,0,0,0,0,0,0
"AAAS",23,32,40,43,41,58,64,62,69
"AACS",7,7,6,6,6,7,5,4,5
"AACSP1",0,0,0,0,0,0,0,0,0
"AADAC",0,0,0,0,0,0,0,0,0
"AADACL2",0,0,0,0,0,0,0,0,0
"AADACL3",0,0,0,0,0,0,0,0,0
"AADACL4",0,0,0,0,0,0,0,0,0
"AADAT",4,6,7,6,7,9,10,10,10
"AAED1",3,5,4,5,4,5,5,5,5
"AAGAB",22,21,19,19,16,16,14,13,13
"AAK1",7,7,7,6,6,6,6,6,6
"AAMDC",88,98,96,100,93,120,109,117,136
"AAMP",53,51,54,49,42,48,46,42,42
"AANAT",0,0,0,0,0,0,0,0,0
"AAR2",28,30,30,30,26,31,32,30,33
"AARD",0,0,0,0,0,0,0,0,0
"AARS",42,38,39,36,29,34,33,29,32
"AARS2",1,1,1,1,2,2,2,2,2
"AARSD1",89,90,87,88,70,80,82,71,74
"AASDH",4,4,5,4,4,5,4,4,5
"AASDHPPT",51,47,44,44,36,40,38,33,32
"AASS",39,36,31,30,23,24,22,16,16
"AATF",22,22,25,25,21,26,27,27,26
"AATK",0,0,0,0,0,0,0,0,0
"AATK-AS1",0,0,0,0,0,0,0,0,0
"ABAT",3,3,2,2,1,1,1,1,0
"ABCA1",0,0,0,0,0,0,0,0,0
"ABCA10",0,0,0,0,0,0,0,0,0
"ABCA11P",9,7,9,7,7,10,8,7,8
"ABCA12",0,0,0,0,0,0,0,0,0
"ABCA13",0,0,0,0,0,0,0,0,0
"ABCA17P",0,0,0,0,0,0,0,0,0
"ABCA2",0,0,0,0,0,0,0,0,0
"ABCA3",0,0,0,0,0,0,0,0,0
"ABCA4",0,0,0,0,0,0,0,0,0
"ABCA5",0,1,1,1,1,1,1,1,1
"ABCA6",0,0,0,0,0,0,0,0,0
"ABCA7",0,0,0,0,0,0,0,0,0
"ABCA8",2,2,3,3,3,3,3,4,4
"ABCA9",0,0,0,0,0,0,0,0,0
"ABCB1",0,0,0,0,0,0,0,0,0
"ABCB10",5,6,6,6,5,6,6,6,5
"ABCB11",0,0,0,0,0,0,0,0,0
"ABCB4",0,0,0,0,0,0,0,0,0
"ABCB5",0,0,0,0,0,0,0,0,0
"ABCB6",4,3,4,3,4,4,4,4,3
"ABCB7",29,28,30,28,27,29,29,27,28
"ABCB8",3,2,2,2,2,2,2,2,1
"ABCB9",0,0,0,0,0,0,0,0,0
"ABCC1",5,5,5,5,4,5,5,4,5
"ABCC10",1,1,1,1,1,2,2,2,2
"ABCC11",0,0,0,0,0,0,0,0,0
"ABCC12",0,0,0,0,0,0,0,0,0
"ABCC13",0,0,0,0,0,0,0,0,0
"ABCC2",0,0,0,0,0,0,0,0,0
"ABCC3",0,1,2,2,2,3,2,3,3
"ABCC4",3,3,4,4,4,5,6,6,6
"ABCC5",5,6,5,5,5,5,6,6,6
"ABCC5-AS1",0,0,0,0,0,0,0,0,0
"ABCC6",0,0,0,0,0,0,0,0,0
"ABCC6P1",0,0,0,0,0,0,0,0,0
"ABCC6P2",0,0,0,0,0,0,0,0,0
"ABCC8",0,0,0,0,0,0,0,0,0
"ABCC9",8,7,7,7,5,6,5,4,4
"ABCD1",0,0,0,0,0,0,0,0,0
"ABCD2",0,0,0,0,0,0,0,0,0
"ABCD3",22,22,24,27,25,30,31,26,33
"ABCD4",11,11,11,10,9,9,8,7,7
"ABCE1",124,124,123,127,111,125,129,113,126
"ABCF1",39,42,45,48,44,52,53,49,53
"ABCF2",101,94,93,91,76,83,82,78,79
"ABCF3",15,14,15,12,12,13,12,12,12
"ABCG1",0,0,0,0,0,0,0,0,0
"ABCG2",0,0,0,0,0,0,0,0,0
"ABCG4",0,0,0,0,0,0,0,0,0
"ABCG5",0,0,0,0,0,0,0,0,0
"ABCG8",0,0,0,0,0,0,0,0,0
"ABHD1",0,0,0,0,0,0,0,0,0
"ABHD10",19,18,18,19,17,21,17,16,18
"ABHD11",8,9,11,10,10,10,10,11,11
"ABHD12",5,5,5,6,6,6,8,8,8
"ABHD12B",0,0,0,0,0,0,0,0,0
"ABHD13",5,5,5,5,4,5,5,5,5
"ABHD14A",14,15,17,14,13,15,17,18,20
"ABHD14A-ACY1",0,0,0,0,0,0,0,0,0
