"","SRR1033045","SRR1033062","SRR1033262","SRR1033083","SRR1033055","SRR1033121","SRR1033030","SRR1033208","SRR1033026","SRR1033107","SRR1033116","SRR1033104","SRR1033088","SRR1033215","SRR1033024","SRR1033058","SRR1033079","SRR1033212","SRR1033117","SRR1033149"
"A1BG",0,0,0,25,0,6,7,0,5,0,0,0,0,0,0,0,0,7,0,2
"A1BG-AS1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A1CF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A2M",0,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A2M-AS1",3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A2ML1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"A2MP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A4GALT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A4GNT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AA06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AAAS",0,0,0,0,0,0,0,55,98,0,0,0,0,0,0,45,0,0,1,140
"AACS",0,0,0,5,0,0,137,0,0,0,2,8,0,0,0,0,0,1,2,0
"AACSP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AADAC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AADACL2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AADACL3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AADACL4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AADAT",0,0,8,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0
"AAED1",0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,118,0,0,1
"AAGAB",42,7,1,4,158,1,52,3,21,4,7,1,1,80,37,0,3,1,0,2
"AAK1",7,0,11,0,0,20,1,7,37,0,4,3,4,0,0,12,2,4,5,48
"AAMDC",316,3,205,0,0,489,255,325,0,12,0,0,487,0,174,4,21,0,0,0
"AAMP",110,5,1,0,1,0,2,0,0,255,195,0,297,0,3,7,46,0,0,47
"AANAT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AAR2",0,0,64,0,0,0,0,0,0,0,77,6,0,106,47,0,199,0,0,1
"AARD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AARS",48,0,0,3,0,59,0,0,1,94,151,16,0,248,0,0,123,251,187,31
"AARS2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"AARSD1",54,465,3,2,28,0,11,23,222,5,15,73,0,102,0,350,80,0,231,77
"AASDH",0,85,0,0,0,0,0,7,0,2,0,0,0,0,0,3,0,5,4,0
"AASDHPPT",5,173,121,85,24,89,2,19,0,5,95,99,1,0,40,62,3,99,115,9
"AASS",10,6,37,70,462,63,57,53,67,0,7,28,0,222,3,2,2,9,32,1
"AATF",0,0,11,0,0,0,3,2,0,131,2,0,0,18,0,0,248,17,4,85
"AATK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AATK-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABAT",0,0,0,78,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0
"ABCA1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCA10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCA11P",0,0,46,0,1,121,1,0,6,0,0,0,1,0,0,0,13,23,0,0
"ABCA12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCA13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCA17P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCA2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCA3",0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCA4",0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
"ABCA5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
