"cell_name","cell_type","cell_type_name","srx_ids","srr_ids","usage_type"
"T48_CT_G10",1,"proliferating_cell","SRX379873","SRR1033183","single"
"T72_CT_H09",1,"proliferating_cell","SRX379968","SRR1033278","single"
"T24_CT_A05",1,"proliferating_cell","SRX379700","SRR1033010","single"
"T24_CT_B11",1,"proliferating_cell","SRX379718","SRR1033028","bulk"
"T24_CT_H01",1,"proliferating_cell","SRX379780","SRR1033090","bulk"
"T72_CT_C11",1,"proliferating_cell","SRX379918","SRR1033228","single"
"T72_CT_H08",1,"proliferating_cell","SRX379967","SRR1033277","bulk"
"T48_CT_E12",1,"proliferating_cell","SRX379851","SRR1033161","single"
"T48_CT_A07",1,"proliferating_cell","SRX379798","SRR1033108","bulk"
"T0_CT_A05",1,"proliferating_cell","SRX379604","SRR1032914","bulk"
"T0_CT_F04",1,"proliferating_cell","SRX379663","SRR1032973","bulk"
"T0_CT_B09",1,"proliferating_cell","SRX379620","SRR1032930","single"
"T0_CT_D12",1,"proliferating_cell","SRX379647","SRR1032957","bulk"
"T0_CT_A03",1,"proliferating_cell","SRX379602","SRR1032912","single"
"T0_CT_C08",1,"proliferating_cell","SRX379631","SRR1032941","single"
"T72_CT_H05",1,"proliferating_cell","SRX379965","SRR1033275","single"
"T0_CT_F01",1,"proliferating_cell","SRX379660","SRR1032970","bulk"
"T0_CT_F02",1,"proliferating_cell","SRX379661","SRR1032971","single"
"T0_CT_F03",1,"proliferating_cell","SRX379662","SRR1032972","single"
"T0_CT_A07",1,"proliferating_cell","SRX379606","SRR1032916","bulk"
"T0_CT_F12",1,"proliferating_cell","SRX379671","SRR1032981","single"
"T0_CT_A10",1,"proliferating_cell","SRX379609","SRR1032919","bulk"
"T0_CT_C12",1,"proliferating_cell","SRX379635","SRR1032945","single"
"T0_CT_E11",1,"proliferating_cell","SRX379658","SRR1032968","bulk"
"T0_CT_E08",1,"proliferating_cell","SRX379655","SRR1032965","bulk"
"T0_CT_C02",1,"proliferating_cell","SRX379625","SRR1032935","bulk"
"T0_CT_B08",1,"proliferating_cell","SRX379619","SRR1032929","bulk"
"T0_CT_G07",1,"proliferating_cell","SRX379678","SRR1032988","bulk"
"T0_CT_D03",1,"proliferating_cell","SRX379638","SRR1032948","single"
"T0_CT_D08",1,"proliferating_cell","SRX379643","SRR1032953","single"
"T0_CT_G01",1,"proliferating_cell","SRX379672","SRR1032982","single"
"T0_CT_E01",1,"proliferating_cell","SRX379648","SRR1032958","bulk"
"T0_CT_B03",1,"proliferating_cell","SRX379614","SRR1032924","single"
"T0_CT_E07",1,"proliferating_cell","SRX379654","SRR1032964","single"
"T0_CT_D06",1,"proliferating_cell","SRX379641","SRR1032951","bulk"
"T0_CT_G04",1,"proliferating_cell","SRX379675","SRR1032985","single"
"T0_CT_F06",1,"proliferating_cell","SRX379665","SRR1032975","bulk"
"T0_CT_G08",1,"proliferating_cell","SRX379679","SRR1032989","single"
"T0_CT_E09",1,"proliferating_cell","SRX379656","SRR1032966","bulk"
"T0_CT_E06",1,"proliferating_cell","SRX379653","SRR1032963","bulk"
"T24_CT_D04",2,"differentiating_myoblast","SRX379735","SRR1033045","single"
"T48_CT_C02",2,"differentiating_myoblast","SRX379817","SRR1033127","bulk"
"T48_CT_D03",2,"differentiating_myoblast","SRX379830","SRR1033140","bulk"
"T72_CT_D07",2,"differentiating_myoblast","SRX379926","SRR1033236","bulk"
"T24_CT_E09",2,"differentiating_myoblast","SRX379752","SRR1033062","single"
